Library,R1_files
dBFA2-21C-R2-Time40,dBFA2_s1_dBFA2-21C-R2-Time40_R1.fastq.gz
dBFA2-21C-R2-Time8,dBFA2_s1_dBFA2-21C-R2-Time8_R1.fastq.gz
dBFA2-21C-R3-Time16,dBFA2_s1_dBFA2-21C-R3-Time16_R1.fastq.gz
dBFA2-21C-R3-Time24,dBFA2_s1_dBFA2-21C-R3-Time24_R1.fastq.gz
dBFA2-21C-R3-Time32,dBFA2_s1_dBFA2-21C-R3-Time32_R1.fastq.gz
dBFA2-21C-R3-Time40,dBFA2_s1_dBFA2-21C-R3-Time40_R1.fastq.gz
dBFA2-21C-R3-Time8,dBFA2_s1_dBFA2-21C-R3-Time8_R1.fastq.gz
dBFA2-37C-R1-Time16,dBFA2_h1_dBFA2-37C-R1-Time16_R1.fastq.gz;hBFA2_dBFA2_h2_dBFA2-37C-R1-Time16_R1.fastq.gz
dBFA2-37C-R1-Time24,dBFA2_h1_dBFA2-37C-R1-Time24_R1.fastq.gz
dBFA2-37C-R1-Time32,dBFA2_h1_dBFA2-37C-R1-Time32_R1.fastq.gz
dBFA2-37C-R1-Time40,dBFA2_h1_dBFA2-37C-R1-Time40_R1.fastq.gz
dBFA2-37C-R1-Time8,dBFA2_h1_dBFA2-37C-R1-Time8_R1.fastq.gz
dBFA2-37C-R2-Time16,dBFA2_h1_dBFA2-37C-R2-Time16_R1.fastq.gz
dBFA2-37C-R2-Time24,dBFA2_h1_dBFA2-37C-R2-Time24_R1.fastq.gz
dBFA2-37C-R2-Time32,dBFA2_h1_dBFA2-37C-R2-Time32_R1.fastq.gz
dBFA2-37C-R2-Time40,dBFA2_h1_dBFA2-37C-R2-Time40_R1.fastq.gz
dBFA2-37C-R2-Time8,dBFA2_h1_dBFA2-37C-R2-Time8_R1.fastq.gz
dBFA2-37C-R3-Time16,dBFA2_h1_dBFA2-37C-R3-Time16_R1.fastq.gz
dBFA2-37C-R3-Time24,dBFA2_h1_dBFA2-37C-R3-Time24_R1.fastq.gz
dBFA2-37C-R3-Time32,dBFA2_h1_dBFA2-37C-R3-Time32_R1.fastq.gz;hBFA2_dBFA2_h2_dBFA2-37C-R3-Time32_R1.fastq.gz
dBFA2-37C-R3-Time40,dBFA2_h1_dBFA2-37C-R3-Time40_R1.fastq.gz
dBFA2-37C-R3-Time8,dBFA2_h1_dBFA2-37C-R3-Time8_R1.fastq.gz
dBFA2-37C_Stan-R1-Time16,dBFA2_s2_dBFA2-37C_Stan-R1-Time16_R1.fastq.gz
dBFA2-37C_Stan-R1-Time24,dBFA2_s2_dBFA2-37C_Stan-R1-Time24_R1.fastq.gz
dBFA2-37C_Stan-R1-Time32,dBFA2_s2_dBFA2-37C_Stan-R1-Time32_R1.fastq.gz
dBFA2-37C_Stan-R1-Time40,dBFA2_s2_dBFA2-37C_Stan-R1-Time40_R1.fastq.gz
dBFA2-37C_Stan-R1-Time8,dBFA2_s2_dBFA2-37C_Stan-R1-Time8_R1.fastq.gz
dBFA2-37C_Stan-R2-Time16,dBFA2_s2_dBFA2-37C_Stan-R2-Time16_R1.fastq.gz
dBFA2-37C_Stan-R2-Time24,dBFA2_s2_dBFA2-37C_Stan-R2-Time24_R1.fastq.gz
dBFA2-37C_Stan-R2-Time32,dBFA2_s2_dBFA2-37C_Stan-R2-Time32_R1.fastq.gz
dBFA2-37C_Stan-R2-Time40,dBFA2_s2_dBFA2-37C_Stan-R2-Time40_R1.fastq.gz
dBFA2-37C_Stan-R2-Time8,dBFA2_s2_dBFA2-37C_Stan-R2-Time8_R1.fastq.gz
dBFA2-37C_Stan-R3-Time16,dBFA2_s2_dBFA2-37C_Stan-R3-Time16_R1.fastq.gz
dBFA2-37C_Stan-R3-Time24,dBFA2_s2_dBFA2-37C_Stan-R3-Time24_R1.fastq.gz
dBFA2-37C_Stan-R3-Time32,dBFA2_s2_dBFA2-37C_Stan-R3-Time32_R1.fastq.gz
dBFA2-37C_Stan-R3-Time40,dBFA2_s2_dBFA2-37C_Stan-R3-Time40_R1.fastq.gz
dBFA2-37C_Stan-R3-Time8,dBFA2_s2_dBFA2-37C_Stan-R3-Time8_R1.fastq.gz
dBFA2-48Hr-R1-Time8,hBFA2_dBFA2_h2_dBFA2-48Hr-R1-Time8_R1.fastq.gz
dBFA2-48Hr-R3-Time32,hBFA2_dBFA2_h2_dBFA2-48Hr-R3-Time32_R1.fastq.gz
dBFA2-CLM-R1-Time16,dBFA2_s2_dBFA2-CLM-R1-Time16_R1.fastq.gz
dBFA2-CLM-R1-Time24,dBFA2_s2_dBFA2-CLM-R1-Time24_R1.fastq.gz
dBFA2-CLM-R1-Time32,dBFA2_s2_dBFA2-CLM-R1-Time32_R1.fastq.gz
dBFA2-CLM-R1-Time40,dBFA2_s2_dBFA2-CLM-R1-Time40_R1.fastq.gz
dBFA2-CLM-R1-Time8,dBFA2_s2_dBFA2-CLM-R1-Time8_R1.fastq.gz
dBFA2-CLM-R2-Time16,dBFA2_s2_dBFA2-CLM-R2-Time16_R1.fastq.gz
dBFA2-CLM-R2-Time24,dBFA2_s2_dBFA2-CLM-R2-Time24_R1.fastq.gz
dBFA2-CLM-R2-Time32,dBFA2_s2_dBFA2-CLM-R2-Time32_R1.fastq.gz
