Assay,Library,R1_files,R2_files
hBFA2,hBFA2-YPD-R1-Time24,hBFA2_h1_hBFA2-YPD-R1-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-YPD-R1-Time32,hBFA2_h1_hBFA2-YPD-R1-Time32_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-YPD-R1-Time40,hBFA2_h1_hBFA2-YPD-R1-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-YPD-R1-Time8,hBFA2_h1_hBFA2-YPD-R1-Time8_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-YPD-R2-Time16,hBFA2_h1_hBFA2-YPD-R2-Time16_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-YPD-R2-Time24,hBFA2_h1_hBFA2-YPD-R2-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-YPD-R2-Time32,hBFA2_h1_hBFA2-YPD-R2-Time32_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-YPD-R2-Time40,hBFA2_h1_hBFA2-YPD-R2-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-YPD-R2-Time8,hBFA2_h1_hBFA2-YPD-R2-Time8_R1.fastq.gz,hBFA2_h1_hBFA2-YPD-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-YPD-R3-Time16,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-YPD-R3-Time24,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-YPD-R3-Time32,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-YPD-R3-Time40,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-YPD-R3-Time8,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-YPD-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-YPD_alpha-R1-Subpool,hBFA2-YPD_alpha-R1-Subpool_S20_R1_001.fastq.gz,
hBFA2,hBFA2-pH3_8-R1-Time16,hBFA2_dBFA2_h2_hBFA2-pH3_8-R1-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R1-Time24,hBFA2_h1_hBFA2-pH3_8-R1-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-pH3_8-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R1-Time32,hBFA2_dBFA2_h2_hBFA2-pH3_8-R1-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R1-Time40,hBFA2_h1_hBFA2-pH3_8-R1-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-pH3_8-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R1-Time8,hBFA2_h1_hBFA2-pH3_8-R1-Time8_R1.fastq.gz,hBFA2_h1_hBFA2-pH3_8-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R2-Time16,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R2-Time24,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R2-Time32,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R2-Time40,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R2-Time8,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R3-Time16,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R3-Time24,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R3-Time32,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R3-Time40,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-pH3_8-R3-Time8,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH3_8-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-pH3_8_alpha-R1-Subpool,hBFA2-pH3_8_alpha-R1-Subpool_S23_R1_001.fastq.gz,
hBFA2,hBFA2-pH7_3-R1-Time16,hBFA2_h1_hBFA2-pH7_3-R1-Time16_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R1-Time24,hBFA2_h1_hBFA2-pH7_3-R1-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R1-Time32,hBFA2_h1_hBFA2-pH7_3-R1-Time32_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R1-Time40,hBFA2_h1_hBFA2-pH7_3-R1-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R1-Time8,hBFA2_h1_hBFA2-pH7_3-R1-Time8_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R2-Time16,hBFA2_h1_hBFA2-pH7_3-R2-Time16_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R2-Time24,hBFA2_h1_hBFA2-pH7_3-R2-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R2-Time32,hBFA2_h1_hBFA2-pH7_3-R2-Time32_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R2-Time40,hBFA2_h1_hBFA2-pH7_3-R2-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R2-Time8,hBFA2_h1_hBFA2-pH7_3-R2-Time8_R1.fastq.gz,hBFA2_h1_hBFA2-pH7_3-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R3-Time16,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R3-Time24,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R3-Time32,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R3-Time40,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-pH7_3-R3-Time8,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-pH7_3-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-pH7_3_alpha-R1-Subpool,hBFA2-pH7_3_alpha-R1-Subpool_S22_R1_001.fastq.gz,
hBFA1,hBFA1-21C-R1-Time16,hBFA1_h1_hBFA1-21C-R1-Time16_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R1-Time16_R2.fastq.gz
hBFA1,hBFA1-21C-R1-Time24,hBFA1_h1_hBFA1-21C-R1-Time24_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R1-Time24_R2.fastq.gz
hBFA1,hBFA1-21C-R1-Time40,hBFA1_h1_hBFA1-21C-R1-Time40_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R1-Time40_R2.fastq.gz
hBFA1,hBFA1-21C-R1-Time8,hBFA1_h1_hBFA1-21C-R1-Time8_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R1-Time8_R2.fastq.gz
hBFA1,hBFA1-21C-R2-Time16,hBFA1_h1_hBFA1-21C-R2-Time16_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R2-Time16_R2.fastq.gz
hBFA1,hBFA1-21C-R2-Time24,hBFA1_h1_hBFA1-21C-R2-Time24_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R2-Time24_R2.fastq.gz
hBFA1,hBFA1-21C-R2-Time40,hBFA1_h1_hBFA1-21C-R2-Time40_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R2-Time40_R2.fastq.gz
hBFA1,hBFA1-21C-R2-Time8,hBFA1_h1_hBFA1-21C-R2-Time8_R1.fastq.gz,hBFA1_h1_hBFA1-21C-R2-Time8_R2.fastq.gz
hBFA1,hBFA1-21C_alpha-R1-Subpool,hBFA1-21C_alpha-R1-Subpool_S18_R1_001.fastq.gz,
hBFA1,hBFA1-21C_alpha-R2-Subpool,hBFA1-21C_alpha-R2-Subpool_S19_R1_001.fastq.gz,
hBFA1,hBFA1-37C-R1-Time16,hBFA1_h1_hBFA1-37C-R1-Time16_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R1-Time16_R2.fastq.gz
hBFA1,hBFA1-37C-R1-Time24,hBFA1_h1_hBFA1-37C-R1-Time24_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R1-Time24_R2.fastq.gz
hBFA1,hBFA1-37C-R1-Time40,hBFA1_h1_hBFA1-37C-R1-Time40_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R1-Time40_R2.fastq.gz
hBFA1,hBFA1-37C-R1-Time8,hBFA1_h1_hBFA1-37C-R1-Time8_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R1-Time8_R2.fastq.gz
hBFA1,hBFA1-37C-R2-Time16,hBFA1_h1_hBFA1-37C-R2-Time16_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R2-Time16_R2.fastq.gz
hBFA1,hBFA1-37C-R2-Time24,hBFA1_h1_hBFA1-37C-R2-Time24_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R2-Time24_R2.fastq.gz
hBFA1,hBFA1-37C-R2-Time40,hBFA1_h1_hBFA1-37C-R2-Time40_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R2-Time40_R2.fastq.gz
hBFA1,hBFA1-37C-R2-Time8,hBFA1_h1_hBFA1-37C-R2-Time8_R1.fastq.gz,hBFA1_h1_hBFA1-37C-R2-Time8_R2.fastq.gz
hBFA1,hBFA1-37C_alpha-R1-Subpool,hBFA1-37C_alpha-R1-Subpool_S8_R1_001.fastq.gz,
hBFA1,hBFA1-37C_alpha-R2-Subpool,hBFA1-37C_alpha-R2-Subpool_S9_R1_001.fastq.gz,
hBFA1,hBFA1-48Hr-R1-Time16,hBFA1_h2_hBFA1-48Hr-R1-Time16_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R1-Time16_R2.fastq.gz
hBFA1,hBFA1-48Hr-R1-Time24,hBFA1_h2_hBFA1-48Hr-R1-Time24_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R1-Time24_R2.fastq.gz
hBFA1,hBFA1-48Hr-R1-Time40,hBFA1_h2_hBFA1-48Hr-R1-Time40_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R1-Time40_R2.fastq.gz
hBFA1,hBFA1-48Hr-R1-Time8,hBFA1_h2_hBFA1-48Hr-R1-Time8_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R1-Time8_R2.fastq.gz
hBFA1,hBFA1-48Hr-R2-Time16,hBFA1_h2_hBFA1-48Hr-R2-Time16_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R2-Time16_R2.fastq.gz
hBFA1,hBFA1-48Hr-R2-Time24,hBFA1_h2_hBFA1-48Hr-R2-Time24_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R2-Time24_R2.fastq.gz
hBFA1,hBFA1-48Hr-R2-Time40,hBFA1_h2_hBFA1-48Hr-R2-Time40_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R2-Time40_R2.fastq.gz
hBFA1,hBFA1-48Hr-R2-Time8,hBFA1_h2_hBFA1-48Hr-R2-Time8_R1.fastq.gz,hBFA1_h2_hBFA1-48Hr-R2-Time8_R2.fastq.gz
hBFA1,hBFA1-CLM_alpha-R1-Subpool,hBFA1-CLM_alpha-R1-Subpool_S16_R1_001.fastq.gz,
hBFA1,hBFA1-CLM_alpha-R2-Subpool,hBFA1-CLM_alpha-R2-Subpool_S17_R1_001.fastq.gz,
hBFA1,hBFA1-FLC4-R2-Time16,hBFA1_h2_hBFA1-FLC4-R2-Time16_R1.fastq.gz,hBFA1_h2_hBFA1-FLC4-R2-Time16_R2.fastq.gz
hBFA1,hBFA1-FLC4-R2-Time24,hBFA1_h2_hBFA1-FLC4-R2-Time24_R1.fastq.gz,hBFA1_h2_hBFA1-FLC4-R2-Time24_R2.fastq.gz
hBFA1,hBFA1-FLC4-R2-Time40,hBFA1_h2_hBFA1-FLC4-R2-Time40_R1.fastq.gz,hBFA1_h2_hBFA1-FLC4-R2-Time40_R2.fastq.gz
hBFA1,hBFA1-FLC4-R2-Time8,hBFA1_h2_hBFA1-FLC4-R2-Time8_R1.fastq.gz,hBFA1_h2_hBFA1-FLC4-R2-Time8_R2.fastq.gz
