Filename,size
dBFA2_h1_dBFA2-YPD-R1-Time32_R2.fastq.gz,452M
dBFA2_h1_dBFA2-YPD-R1-Time8_R1.fastq.gz,386M
dBFA2_h1_dBFA2-YPD-R1-Time8_R2.fastq.gz,387M
dBFA2_h1_dBFA2-YPD-R2-Time16_R1.fastq.gz,370M
dBFA2_h1_dBFA2-YPD-R2-Time16_R2.fastq.gz,371M
dBFA2_h1_dBFA2-YPD-R2-Time24_R1.fastq.gz,266M
dBFA2_h1_dBFA2-YPD-R2-Time24_R2.fastq.gz,261M
dBFA2_h1_dBFA2-YPD-R2-Time32_R1.fastq.gz,372M
dBFA2_h1_dBFA2-YPD-R2-Time32_R2.fastq.gz,375M
dBFA2_h1_dBFA2-YPD-R2-Time40_R1.fastq.gz,315M
dBFA2_h1_dBFA2-YPD-R2-Time40_R2.fastq.gz,317M
dBFA2_h1_dBFA2-YPD-R2-Time8_R1.fastq.gz,355M
dBFA2_h1_dBFA2-YPD-R2-Time8_R2.fastq.gz,358M
dBFA2_h1_dBFA2-YPD-R3-Time16_R1.fastq.gz,241M
dBFA2_h1_dBFA2-YPD-R3-Time16_R2.fastq.gz,238M
dBFA2_h1_dBFA2-YPD-R3-Time24_R1.fastq.gz,228M
dBFA2_h1_dBFA2-YPD-R3-Time24_R2.fastq.gz,224M
dBFA2_h1_dBFA2-YPD-R3-Time32_R1.fastq.gz,409M
dBFA2_h1_dBFA2-YPD-R3-Time32_R2.fastq.gz,416M
dBFA2_h1_dBFA2-YPD-R3-Time40_R1.fastq.gz,305M
dBFA2_h1_dBFA2-YPD-R3-Time40_R2.fastq.gz,303M
dBFA2_h1_dBFA2-YPD-R3-Time8_R1.fastq.gz,398M
dBFA2_h1_dBFA2-YPD-R3-Time8_R2.fastq.gz,395M
dBFA2_h1_Subpool_02M_NaCl_2N_R2_R1.fastq.gz,36M
dBFA2_h1_Subpool_02M_NaCl_2N_R2_R2.fastq.gz,36M
dBFA2_h1_Subpool_21C_2N_R2_R1.fastq.gz,25M
dBFA2_h1_Subpool_21C_2N_R2_R2.fastq.gz,25M
dBFA2_h1_Subpool_37C_2N_R1_R1.fastq.gz,25M
dBFA2_h1_Subpool_37C_2N_R1_R2.fastq.gz,26M
dBFA2_h1_Subpool_37C_2N_R2_R1.fastq.gz,26M
